Handle,Variant Barcode,Title,Body (HTML),Vendor,Product Category,Type,Tags,Option1 Name,Option1 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Gift Card,Variant Weight Unit,Cost per item,Included / United States,Included / International,Status
marianelli-dario-thibaudet-jean-yves-pride-prejudice-music-from-the-motion-picture-anniversary-edition-20250919,028948712878,"Marianelli, Dario / Thibaudet, Jean-Yves - Pride & Prejudice (Music From The Motion Picture) LP (Anniversary Edition)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Dario Marianelli/Jean-Yves Thibaudet - ""Pride & Prejudice (Music From The Motion Picture)"". In honor of it's 20th anniversary, the acclaimed soundtrack to Pride & Prejudice makes it's long-awaited return to vinyl. Dario Marianelli's beloved score for Joe Wright's 2005 film adaptation - starring Keira Knightley and Matthew Macfadyen - is performed by acclaimed pianist Jean-Yves Thibaudet and the English Chamber Orchestra. Nominated for an Academy Award and two World Soundtrack Awards, and newly certified Gold by the RIAA, the soundtrack continues to enchant a new generation of listeners.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,32.9346,39.9346,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/87/4427987-3431836.jpg,FALSE,lb,26.9346,TRUE,TRUE,draft
call-evan-violet-evergarden-original-soundtrack-gatefold-lp-jacket-20250919,5037899093146,"Call, Evan - Violet Evergarden (Original Soundtrack) LP (Gatefold LP Jacket)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Anime Limited are delighted to present the complete original soundtrack to the beloved Netflix anime Violet Evergarden. This release includes the full original soundtrack to the series, packed with evocative and heart-rending compositions from Evan Call (Frieren, Josee, the Tiger and the Fish, My Happy Marriage) which accentuate the show's delicate and poignant tale of a young woman on her journey to understand love and what it means.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,52.9546,60.98,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/02/4438302-3409439.jpg,FALSE,lb,46.9546,TRUE,TRUE,draft
delish-like-a-sieve-20250919,7090060760313,Delish - Like A Sieve LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,45.2623,52.2623,TRUE,TRUE,,FALSE,lb,39.2623,TRUE,TRUE,draft
borgen-andre-forested-20250919,7090060760085,"Borgen, Andre - Forested LP","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,34.4823,41.4823,TRUE,TRUE,,FALSE,lb,28.482300000000002,TRUE,TRUE,draft
newdad-altar-20250919,5021732774163,Newdad - Altar LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,27.5446,34.5446,TRUE,TRUE,,FALSE,lb,21.5446,TRUE,TRUE,draft
e-dancer-kms-sampler-vol-1-20250919,5061099140164,E-Dancer - KMS Sampler Vol. 1 LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Armada Music & BEAT Music Fund are delighted to announce the return to vinyl for KMS. And what better way to kick things off again than with this powerful 4 tracker, gathering some of the most in demand and genre defying tracks from the E-Dancer vaults for the first time on one EP. Label owner Kevin Saunderson is largely credited as one of Detroit Techno's founding fathers and goes by many names, with the E-Dancer signature reserved for his more underground Detroit explorations, which in turn have influenced and spawned many new genres. Almost 4 decades on, Saunderson remains as relevant as a DJ and producer today, testament to the fact that regardless of the production moniker, no one does it better. This collection of hi-octane floor fillers signals KMS are back with a bang and to ensure the best possible sound for the vinyl, the audio has been lovingly remastered by AIR Studios and their team of celebrated engineers, fully utilizing their mastering knowledge.Tracklisting:A1. Speaker Punishing (The Dirty Mix)A2. World of DeepB1. Feel The Mood (N.Y. Groove Mix)B2. Pump The Move</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,140,shopify,continue,manual,29.8546,36.854600000000005,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/17/4451517-3436608.jpg,FALSE,lb,23.8546,TRUE,TRUE,draft
nation-of-language-dance-called-memory-clear-w-black-blue-mix-clear-vinyl-black-blue-20250919,098787170009,"Nation of Language - Dance Called Memory - Clear w/ Black & Blue mix LP (Clear Vinyl, Black, Blue)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Synthpop, minimal wave, post-punk, goth, new romantic - fans and critics alike have dug deeply into their vintage thesauruses to describe the beguiling work of Nation of Language. And if you can't precisely define the band, that's the point. Frontman Ian Richard Devaney has become prodigious in expanding what synthesizer-driven music can evoke, such that his output is as much an extrasensory journey as it is an all-too-human destination. With that experience in mind, he wrote the band's fourth album - the spectral, spacious Dance Called Memory - in the most humble of ways: chipping away at melancholia by sitting around and strumming his guitar. Nation of Language's first two albums, Introduction, Presence (2020), and A Way Forward (2021), came as pandemic godsends: gorgeous, relatable soundtracks to our collective doldrums. But it was their last LP, Strange Disciple (2023), that catapulted the group from cultural standouts to critical darlings, with the album being named Rough Trade's Album of the Year. With that release, Pitchfork wrote that the band ""are learning what it means to get bigger and better."" This is Devaney's calling: soulfully translating individual despair into a comforting, collective mourning. The single ""Now That You're Gone,"" which radiates and reverberates with a devastating wistfulness, was inspired by witnessing his godfather's tragic death from ALS, and his parents' role as caretakers for this ailing friend. At it's heart, the song is a reflection of how friends can be there for each other, and also highlights a theme throughout the record: the pain and lost promise of friendships that fall apart. On Dance Called Memory, the band once again collaborated with friend and Strange Disciple producer Nick Millhiser (LCD Soundsystem, Holy Ghost!). ""What's so great about Nick is his ability to make us feel like we don't need to do what might be expected of us,"" says synth player Aidan Noell, who, along with bassist Alex MacKay, rounds out the Nation of Language lineup. They imbued Dance Called Memory with a shifted palette - sampling chopped-up drum breaks on ""I'm Not Ready for the Change"" for a touch of Loveless-era My Bloody Valentine, or smashing all of the percussion of ""In Another Life"" through a synthesizer to cast a shade of early-2000s electronic music. Ultimately, the hope was to weave raw vulnerability and humanity into a synth-heavy album. ""There is a dichotomy between the Kraftwerk school of thought and the Brian Eno school of thought, each of which I've been drawn to at different points. I've read about how Kraftwerk wanted to remove all of the humanity from their music, but Eno often spoke about wanting to make synthesized music that felt distinctly human,"" Devaney says. ""As much as Kraftwerk is a sonically foundational influence, with this record I leaned much more towards the Eno school of thought. In this era quickly being defined by the rise of AI supplanting human creators I'm focusing more on the human condition, and I need the underlying music to support that... Instead of hopelessness, I want to leave the listener with a feeling of us really seeing one another, that our individual struggles can actually unite us in empathy.""</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,25.2346,32.2346,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/61/4435661-3409373.jpg,FALSE,lb,19.2346,TRUE,TRUE,draft
ranil-su-conjunto-tropical-sonido-amazonico-20250919,8435008865085,Ranil / Su Conjunto Tropical - Sonido Amazonico LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,31.394599999999997,38.3946,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/81/4443881-3418874.jpg,FALSE,lb,25.394599999999997,TRUE,TRUE,draft
orianthi-some-kind-of-feeling-20250919,195269365578,Orianthi - Some Kind Of Feeling LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Blues rock guitar virtuoso Orianthi wanted to create something special to celebrate her 25th anniversary as a professional musician. The Australian-born, Los Angeles-based Orianthi entered The Doors guitarist Robby Krieger's Love Street Sound studio where she wrote, produced and recorded her forthcoming album for Woodward Avenue Records. The album 'Some Kind of Feeling' showcases Orianthi's electrifying guitarisma, in the context of songs that mark an inspiring return to her first stylistic love - a more organic, 60's-70's rock blues vibe.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,28.314600000000002,35.3146,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/22/4428522-3395978.jpg,FALSE,lb,22.314600000000002,TRUE,TRUE,draft
abdi-ellen-beth-sad-chord-tenterhooks-remixes-united-kingdom-import-20250919,5053760136491,"Abdi, Ellen Beth - Sad Chord / Tenterhooks (Remixes) LP (United Kingdom - Import)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,40,shopify,continue,manual,26.7823,33.7823,TRUE,TRUE,,FALSE,lb,20.7823,TRUE,TRUE,draft
foxx-john-no-one-driving-20250919,5060446127056,"Foxx, John - No-One Driving LP","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>No-One Driving is a collection of John Foxx singles and B-sides, all released 45 years ago in 1980 and now set for release on black vinyl. Includes the singles 'Underpass', 'No-One Driving', 'Burning Car' and 'Miles Away', the latter hinting at a new direction after the minimalism of his 1980 album, Metamatic. Some of Foxx's strongest work is on the B-sides with the likes of 'Film One' and 'Mr. No' being particular Aphex Twin favorites, while 'This City' could easily have been a single in it's own right. An alternative take on '20th Century' became the theme for the Janet Street-Porter TV magazine show, 20th Century Box which was first broadcast by London Weekend Television in 1980, but this B-side remains the definitive, full fledged version. To complete the album are two tracks - 'Cinemascope' and 'To Be With You' - which were later constructed by Foxx out of original cassette recordings, notes and lyrics from the Metamatic sessions and have never been released on vinyl before.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,33.7046,40.7046,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/01/4450701-3436704.jpg,FALSE,lb,27.7046,TRUE,TRUE,draft
nailed-to-obscurity-generation-of-the-void-clear-vinyl-20250919,727361582111,Nailed To Obscurity - Generation Of The Void LP (Clear Vinyl),"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,33.7046,40.7046,TRUE,TRUE,,FALSE,lb,27.7046,TRUE,TRUE,draft
faithless-champion-sound-20250919,3760420425186,Faithless - Champion Sound LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,39.0946,46.0946,TRUE,TRUE,,FALSE,lb,33.0946,TRUE,TRUE,draft
between-the-buried-me-blue-nowhere-limited-deluxe-edition-includes-gatefold-blue-white-haze-colored-vinyl-2cd-s-united-kingdom-import-limited-edition-deluxe-edition-gatefold-lp-jacket-colored-vinyl-blue-white-with-cd-20250919,198029381016,"Between the Buried & Me - Blue Nowhere - Limited Deluxe Edition includes Gatefold Blue & White Haze Colored Vinyl & 2CD's LP (United Kingdom - Import, Limited Edition, Deluxe Edition, Gatefold LP Jacket, Colored Vinyl, Blue, White, With CD)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,64.5123,75.99,TRUE,TRUE,,FALSE,lb,58.512299999999996,TRUE,TRUE,draft
dark-times-no-hope-the-early-eps-20250919,7041889511778,Dark Times - No Hope / The Early EPs LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,36.0223,43.0223,TRUE,TRUE,,FALSE,lb,30.0223,TRUE,TRUE,draft
birenberg-leo-robinson-zach-cobra-kai-original-soundtrack-20250919,810155841027,"Birenberg, Leo / Robinson, Zach - Cobra Kai (Original Soundtrack) LP","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,51.4146,58.98,TRUE,TRUE,,FALSE,lb,45.4146,TRUE,TRUE,draft
